questionFrontendId,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
1125,"Smallest Sufficient Team",0,Hard,49,448,9
863,"All Nodes Distance K in Binary Tree",0,Medium,49,3144,64
84,"Largest Rectangle in Histogram",0,Hard,49,5225,105
1469,"Find All The Lonely Nodes",1,Easy,48,194,4
1372,"Longest ZigZag Path in a Binary Tree",0,Medium,48,489,10
1278,"Palindrome Partitioning III",0,Hard,48,391,8
240,"Search a 2D Matrix II",0,Medium,48,4155,85
1358,"Number of Substrings Containing All Three Characters",0,Medium,47,611,13
1245,"Tree Diameter",1,Medium,47,429,9
78,Subsets,0,Medium,47,5202,109
1493,"Longest Subarray of 1 s After Deleting One Element",0,Medium,46,323,7
174,"Dungeon Game",0,Hard,46,2151,46
85,"Maximal Rectangle",0,Hard,46,3836,83
1663,"Smallest String With A Given Numeric Value",0,Medium,45,362,8
1035,"Uncrossed Lines",0,Medium,45,1057,23
895,"Maximum Frequency Stack",0,Hard,45,1315,29
871,"Minimum Number of Refueling Stops",0,Hard,45,1049,23
407,"Trapping Rain Water II",0,Hard,45,1688,37
1420,"Build Array Where You Can Find The Maximum Exactly K Comparisons",0,Hard,44,265,6
862,"Shortest Subarray with Sum at Least K",0,Hard,44,1588,36
416,"Partition Equal Subset Sum",0,Medium,44,3938,88
1743,"Restore the Array From Adjacent Pairs",0,Medium,43,175,4
1458,"Max Dot Product of Two Subsequences",0,Hard,43,388,9
1209,"Remove All Adjacent Duplicates in String II",0,Medium,43,1049,24
300,"Longest Increasing Subsequence",0,Medium,43,6421,149
230,"Kth Smallest Element in a BST",0,Medium,43,3483,81
1572,"Matrix Diagonal Sum",0,Easy,42,341,8
1542,"Find Longest Awesome Substring",0,Hard,42,298,7
1496,"Path Crossing",0,Easy,42,253,6
1482,"Minimum Number of Days to Make m Bouquets",0,Medium,42,727,17
1455,"Check If a Word Occurs As a Prefix of Any Word in a Sentence",0,Easy,42,252,6
46,Permutations,0,Medium,42,5352,125
1644,"Lowest Common Ancestor of a Binary Tree II",1,Medium,41,82,2
1416,"Restore The Array",0,Hard,41,208,5
1246,"Palindrome Removal",1,Hard,41,208,5
583,"Delete Operation for Two Strings",0,Medium,41,1376,33
582,"Kill Process",1,Medium,41,542,13
213,"House Robber II",0,Medium,41,2579,62
102,"Binary Tree Level Order Traversal",0,Medium,41,4158,101
1365,"How Many Numbers Are Smaller Than the Current Number",0,Easy,40,1385,34
1325,"Delete Leaves With a Given Value",0,Medium,40,609,15
1249,"Minimum Remove to Make Valid Parentheses",0,Medium,40,1572,39
946,"Validate Stack Sequences",0,Medium,40,1309,32
221,"Maximal Square",0,Medium,40,4134,103
1187,"Make Array Strictly Increasing",0,Hard,39,354,9
105,"Construct Binary Tree from Preorder and Inorder Traversal",0,Medium,39,4669,119
104,"Maximum Depth of Binary Tree",0,Easy,39,3529,90
1685,"Sum of Absolute Differences in a Sorted Array",0,Medium,38,228,6
1658,"Minimum Operations to Reduce X to Zero",0,Medium,38,695,18
1466,"Reorder Routes to Make All Paths Lead to the City Zero",0,Medium,38,540,14
1100,"Find K-Length Substrings With No Repeated Characters",1,Medium,38,229,6
518,"Coin Change 2",0,Medium,38,2765,71
129,"Sum Root to Leaf Numbers",0,Medium,38,2051,53
123,"Best Time to Buy and Sell Stock III",0,Hard,38,3183,83
1697,"Checking Existence of Edge Length Limited Paths",0,Hard,37,225,6
1216,"Valid Palindrome III",1,Hard,37,223,6
305,"Number of Islands II",1,Hard,37,967,26
101,"Symmetric Tree",0,Easy,37,5558,147
39,"Combination Sum",0,Medium,37,5347,142
1734,"Decode XORed Permutation",0,Medium,36,217,6
1703,"Minimum Adjacent Swaps for K Consecutive Ones",0,Hard,36,147,4
1394,"Find Lucky Integer in an Array",0,Easy,36,330,9
1349,"Maximum Students Taking Exam",0,Hard,36,369,10
1182,"Shortest Distance to Target Color",1,Medium,36,145,4
960,"Delete Columns to Make Sorted III",0,Hard,36,292,8
886,"Possible Bipartition",0,Medium,36,1289,35
718,"Maximum Length of Repeated Subarray",0,Medium,36,1775,49
435,"Non-overlapping Intervals",0,Medium,36,1843,50
100,"Same Tree",0,Easy,36,2906,79
1727,"Largest Submatrix With Rearrangements",0,Medium,35,284,8
1695,"Maximum Erasure Value",0,Medium,35,178,5
1444,"Number of Ways of Cutting a Pizza",0,Hard,35,285,8
1446,"Consecutive Characters",0,Easy,35,457,13
1008,"Construct Binary Search Tree from Preorder Traversal",0,Medium,35,1677,47
962,"Maximum Width Ramp",0,Medium,35,716,20
678,"Valid Parenthesis String",0,Medium,35,2216,63
323,"Number of Connected Components in an Undirected Graph",1,Medium,35,1016,29
47,"Permutations II",0,Medium,35,2707,76
1653,"Minimum Deletions to Make String Balanced",0,Medium,34,241,7
1262,"Greatest Sum Divisible by Three",0,Medium,34,660,19
1248,"Count Number of Nice Subarrays",0,Medium,34,724,21
1092,"Shortest Common Supersequence ",0,Hard,34,838,24
1046,"Last Stone Weight",0,Easy,34,1202,35
312,"Burst Balloons",0,Hard,34,3330,96
272,"Closest Binary Search Tree Value II",1,Hard,34,722,21
198,"House Robber",0,Medium,34,6451,185
1641,"Count Sorted Vowel Strings",0,Medium,33,698,21
1574,"Shortest Subarray to be Removed to Make Array Sorted",0,Medium,33,470,14
1011,"Capacity To Ship Packages Within D Days",0,Medium,33,1784,53
986,"Interval List Intersections",0,Medium,33,1997,59
926,"Flip String to Monotone Increasing",0,Medium,33,728,22
714,"Best Time to Buy and Sell Stock with Transaction Fee",0,Medium,33,2049,62
322,"Coin Change",0,Medium,33,5958,178
132,"Palindrome Partitioning II",0,Hard,33,1631,49
1591,"Strange Printer II",0,Hard,32,164,5
1457,"Pseudo-Palindromic Paths in a Binary Tree",0,Medium,32,580,18
1254,"Number of Closed Islands",0,Medium,32,687,21
1120,"Maximum Average Subtree",1,Medium,32,352,11
827,"Making A Large Island",0,Hard,32,610,19
739,"Daily Temperatures",0,Medium,32,3789,118
1730,"Shortest Path to Get Food",1,Medium,32,32,1
309,"Best Time to Buy and Sell Stock with Cooldown",0,Medium,32,3381,104
283,"Move Zeroes",0,Easy,32,4990,155
200,"Number of Islands",0,Medium,32,7583,234
1525,"Number of Good Ways to Split a String",0,Medium,31,344,11
1306,"Jump Game III",0,Medium,31,996,32
354,"Russian Doll Envelopes",0,Hard,31,1563,49
325,"Maximum Size Subarray Sum Equals k",1,Medium,31,1131,36
315,"Count of Smaller Numbers After Self",0,Hard,31,3136,100
261,"Graph Valid Tree",1,Medium,31,1278,41
131,"Palindrome Partitioning",0,Medium,31,2971,94
70,"Climbing Stairs",0,Easy,31,5854,185
1722,"Minimize Hamming Distance After Swap Operations",0,Medium,30,276,9
1110,"Delete Nodes And Return Forest",0,Medium,30,1591,53
1094,"Car Pooling",0,Medium,30,1114,36
856,"Score of Parentheses",0,Medium,30,1600,52
815,"Bus Routes",0,Hard,30,984,32
787,"Cheapest Flights Within K Stops",0,Medium,30,2729,90
773,"Sliding Puzzle",0,Hard,30,879,29
136,"Single Number",0,Easy,30,5673,187
1415,"The k-th Lexicographical String of All Happy Strings of Length n",0,Medium,29,354,12
1632,"Rank Transform of a Matrix",0,Hard,29,179,6
1168,"Optimize Water Distribution in a Village",1,Hard,29,378,13
876,"Middle of the Linked List",0,Easy,29,2046,69
695,"Max Area of Island",0,Medium,29,2684,92
668,"Kth Smallest Number in Multiplication Table",0,Hard,29,671,23
560,"Subarray Sum Equals K",0,Medium,29,6522,224
152,"Maximum Product Subarray",0,Medium,29,6125,205
113,"Path Sum II",0,Medium,29,2501,86
1647,"Minimum Deletions to Make Character Frequencies Unique",0,Medium,28,230,8
1367,"Linked List in Binary Tree",0,Medium,28,704,25
1371,"Find the Longest Substring Containing Vowels in Even Counts",0,Medium,28,566,20
1219,"Path with Maximum Gold",0,Medium,28,828,29
1136,"Parallel Courses",1,Hard,28,253,9
1028,"Recover a Tree From Preorder Traversal",0,Hard,28,595,21
940,"Distinct Subsequences II",0,Hard,28,484,17
567,"Permutation in String",0,Medium,28,2144,76
340,"Longest Substring with At Most K Distinct Characters",1,Medium,28,1472,52
115,"Distinct Subsequences",0,Hard,28,1738,62
109,"Convert Sorted List to Binary Search Tree",0,Medium,28,2651,93
40,"Combination Sum II",0,Medium,28,2443,85
1,"Two Sum",0,Easy,28,19149,682
1595,"Minimum Cost to Connect Two Groups of Points",0,Hard,27,190,7
1582,"Special Positions in a Binary Matrix",0,Easy,27,194,7
1559,"Detect Cycles in 2D Grid",0,Hard,27,245,9
1499,"Max Value of Equation",0,Hard,27,271,10
1202,"Smallest String With Swaps",0,Medium,27,800,29
1026,"Maximum Difference Between Node and Ancestor",0,Medium,27,1110,41
979,"Distribute Coins in Binary Tree",0,Medium,27,2173,78
956,"Tallest Billboard",0,Hard,27,412,15
864,"Shortest Path to Get All Keys",0,Hard,27,497,18
647,"Palindromic Substrings",0,Medium,27,3637,133
370,"Range Addition",1,Medium,27,631,23
51,N-Queens,0,Hard,27,2612,96
1606,"Find Servers That Handled Most Number of Requests",0,Hard,26,183,7
1263,"Minimum Moves to Move a Box to Their Target Location",0,Hard,26,266,10
1190,"Reverse Substrings Between Each Pair of Parentheses",0,Medium,26,642,24
1079,"Letter Tile Possibilities",0,Medium,26,908,34
834,"Sum of Distances in Tree",0,Hard,26,1118,43
814,"Binary Tree Pruning",0,Medium,26,1310,50
719,"Find K-th Smallest Pair Distance",0,Hard,26,1225,46
630,"Course Schedule III",0,Hard,26,962,36
452,"Minimum Number of Arrows to Burst Balloons",0,Medium,26,1581,59
410,"Split Array Largest Sum",0,Hard,26,2363,90
358,"Rearrange String k Distance Apart",1,Hard,26,555,21
216,"Combination Sum III",0,Medium,26,1641,63
99,"Recover Binary Search Tree",0,Hard,26,2234,85
96,"Unique Binary Search Trees",0,Medium,26,4267,159
32,"Longest Valid Parentheses",0,Hard,26,4439,167
1593,"Split a String Into the Max Number of Unique Substrings",0,Medium,25,276,11
1605,"Find Valid Matrix Given Row and Column Sums",0,Medium,25,362,14
1590,"Make Sum Divisible by P",0,Medium,25,383,15
1539,"Kth Missing Positive Number",0,Easy,25,755,30
1207,"Unique Number of Occurrences",0,Easy,25,606,24
1315,"Sum of Nodes with Even-Valued Grandparent",0,Medium,25,802,32
1049,"Last Stone Weight II",0,Medium,25,1081,42
752,"Open the Lock",0,Medium,25,1423,55
713,"Subarray Product Less Than K",0,Medium,25,2129,82
540,"Single Element in a Sorted Array",0,Medium,25,2184,86
450,"Delete Node in a BST",0,Medium,25,2647,104
254,"Factor Combinations",1,Medium,25,670,26
236,"Lowest Common Ancestor of a Binary Tree",0,Medium,25,5075,199
209,"Minimum Size Subarray Sum",0,Medium,25,3339,133
77,Combinations,0,Medium,25,2004,79
34,"Find First and Last Position of Element in Sorted Array",0,Medium,25,4900,190
1679,"Max Number of K-Sum Pairs",0,Medium,24,363,15
1340,"Jump Game V",0,Hard,24,313,13
1305,"All Elements in Two Binary Search Trees",0,Medium,24,809,33
1186,"Maximum Subarray Sum with One Deletion",0,Medium,24,711,29
1112,"Highest Grade For Each Student",1,Medium,24,98,4
1074,"Number of Submatrices That Sum to Target",0,Hard,24,746,30
1135,"Connecting Cities With Minimum Cost",1,Medium,24,414,17
881,"Boats to Save People",0,Medium,24,1171,48
873,"Length of Longest Fibonacci Subsequence",0,Medium,24,916,37
845,"Longest Mountain in Array",0,Medium,24,1057,43
503,"Next Greater Element II",0,Medium,24,2158,88
494,"Target Sum",0,Medium,24,3658,148
239,"Sliding Window Maximum",0,Hard,24,5118,212
212,"Word Search II",0,Hard,24,3388,141
207,"Course Schedule",0,Medium,24,5201,210
146,"LRU Cache",0,Medium,24,7722,316
103,"Binary Tree Zigzag Level Order Traversal",0,Medium,24,3046,122
37,"Sudoku Solver",0,Hard,24,2469,100
20,"Valid Parentheses",0,Easy,24,6748,274
1631,"Path With Minimum Effort",0,Medium,23,829,35
1626,"Best Team With No Conflicts",0,Medium,23,350,15
1556,"Thousand Separator",0,Easy,23,166,7
1521,"Find a Value of a Mysterious Function Closest to Target",0,Hard,23,185,8
1288,"Remove Covered Intervals",0,Medium,23,594,25
1060,"Missing Element in Sorted Array",1,Medium,23,857,37
872,"Leaf-Similar Trees",0,Easy,23,1035,44
768,"Max Chunks To Make Sorted II",0,Hard,23,527,22
763,"Partition Labels",0,Medium,23,4086,171
402,"Remove K Digits",0,Medium,23,3030,131
265,"Paint House II",1,Hard,23,600,26
148,"Sort List",0,Medium,23,3846,166
144,"Binary Tree Preorder Traversal",0,Medium,23,2042,86
79,"Word Search",0,Medium,23,5149,222
1709,"Biggest Window Between Visits",1,Medium,22,22,1
1513,"Number of Substrings With Only 1s",0,Medium,22,274,12
1356,"Sort Integers by The Number of 1 Bits",0,Easy,22,422,19
1320,"Minimum Distance to Type a Word Using Two Fingers",0,Hard,22,516,23
1173,"Immediate Food Delivery I",1,Easy,22,90,4
1054,"Distant Barcodes",0,Medium,22,509,23
1162,"As Far from Land as Possible",0,Medium,22,751,33
1101,"The Earliest Moment When Everyone Become Friends",1,Medium,22,157,7
1024,"Video Stitching",0,Medium,22,667,30
1014,"Best Sightseeing Pair",0,Medium,22,573,26
930,"Binary Subarrays With Sum",0,Medium,22,705,31
712,"Minimum ASCII Delete Sum for Two Strings",0,Medium,22,1220,54
310,"Minimum Height Trees",0,Medium,22,2850,124
235,"Lowest Common Ancestor of a Binary Search Tree",0,Easy,22,2785,125
211,"Design Add and Search Words Data Structure",0,Medium,22,2714,121
121,"Best Time to Buy and Sell Stock",0,Easy,22,7520,336
94,"Binary Tree Inorder Traversal",0,Medium,22,4220,188
90,"Subsets II",0,Medium,22,2230,100
49,"Group Anagrams",0,Medium,22,4851,220
22,"Generate Parentheses",0,Medium,22,7036,312
1699,"Number of Calls Between Two Persons",1,Medium,21,21,1
1704,"Determine if String Halves Are Alike",0,Easy,21,126,6
1675,"Minimize Deviation in Array",0,Hard,21,382,18
1575,"Count All Possible Routes",0,Hard,21,195,9
1438,"Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit",0,Medium,21,1158,54
1423,"Maximum Points You Can Obtain from Cards",0,Medium,21,1032,48
1285,"Find the Start and End Number of Continuous Ranges",1,Medium,21,171,8
534,"Game Play Analysis III",1,Medium,21,128,6
1230,"Toss Strange Coins",1,Medium,21,128,6
945,"Minimum Increment to Make Array Unique",0,Medium,21,558,26
918,"Maximum Sum Circular Subarray",0,Medium,21,1480,70
896,"Monotonic Array",0,Easy,21,887,41
844,"Backspace String Compare",0,Easy,21,2237,105
813,"Largest Sum of Averages",0,Medium,21,1124,53
767,"Reorganize String",0,Medium,21,2518,118
559,"Maximum Depth of N-ary Tree",0,Easy,21,1204,56
428,"Serialize and Deserialize N-ary Tree",1,Hard,21,572,27
729,"My Calendar I",0,Medium,21,946,44
301,"Remove Invalid Parentheses",0,Hard,21,3124,145
297,"Serialize and Deserialize Binary Tree",0,Hard,21,3925,183
145,"Binary Tree Postorder Traversal",0,Medium,21,2355,110
82,"Remove Duplicates from Sorted List II",0,Medium,21,2648,122
45,"Jump Game II",0,Hard,21,3615,167
44,"Wildcard Matching",0,Hard,21,2679,127
1636,"Sort Array by Increasing Frequency",0,Easy,20,270,13
1529,"Bulb Switcher IV",0,Medium,20,323,16
1484,"Group Sold Products By The Date",1,Easy,20,100,5
1462,"Course Schedule IV",0,Medium,20,326,16
1425,"Constrained Subsequence Sum",0,Hard,20,460,22
1155,"Number of Dice Rolls With Target Sum",0,Medium,20,1110,55
1301,"Number of Paths with Max Score",0,Hard,20,187,9
1161,"Maximum Level Sum of a Binary Tree",0,Medium,20,663,33
704,"Binary Search",0,Easy,20,1126,56
617,"Merge Two Binary Trees",0,Easy,20,3906,190
581,"Shortest Unsorted Continuous Subarray",0,Medium,20,3398,165
572,"Subtree of Another Tree",0,Easy,20,3096,152
454,"4Sum II",0,Medium,20,1747,84
394,"Decode String",0,Medium,20,4551,222
210,"Course Schedule II",0,Medium,20,3262,162
203,"Remove Linked List Elements",0,Easy,20,2411,115
143,"Reorder List",0,Medium,20,2857,141
139,"Word Break",0,Medium,20,5980,286
128,"Longest Consecutive Sequence",0,Hard,20,4610,224
53,"Maximum Subarray",0,Easy,20,10686,512
1707,"Maximum XOR With an Element From Array",0,Hard,19,153,8
1723,"Find Minimum Time to Finish All Jobs",0,Hard,19,172,9
1639,"Number of Ways to Form a Target String Given a Dictionary",0,Hard,19,116,6
1442,"Count Triplets That Can Form Two Arrays of Equal XOR",0,Medium,19,455,23
1382,"Balance a Binary Search Tree",0,Medium,19,529,27
1031,"Maximum Sum of Two Non-Overlapping Subarrays",0,Medium,19,939,49
993,"Cousins in Binary Tree",0,Easy,19,1296,66
973,"K Closest Points to Origin",0,Medium,19,2665,139
951,"Flip Equivalent Binary Trees",0,Medium,19,913,47
554,"Brick Wall",0,Medium,19,1093,56
525,"Contiguous Array",0,Medium,19,2622,134
505,"The Maze II",1,Medium,19,701,36
463,"Island Perimeter",0,Easy,19,2545,132
449,"Serialize and Deserialize BST",0,Medium,19,1815,92
438,"Find All Anagrams in a String",0,Medium,19,3867,195
424,"Longest Repeating Character Replacement",0,Medium,19,2077,107
387,"First Unique Character in a String",0,Easy,19,2622,132
376,"Wiggle Subsequence",0,Medium,19,1278,65
368,"Largest Divisible Subset",0,Medium,19,1716,87
285,"Inorder Successor in BST",1,Medium,19,1417,71
281,"Zigzag Iterator",1,Medium,19,433,22
252,"Meeting Rooms",1,Easy,19,836,44
116,"Populating Next Right Pointers in Each Node",0,Medium,19,3022,159
92,"Reverse Linked List II",0,Medium,19,3289,169
62,"Unique Paths",0,Medium,19,4517,234
23,"Merge k Sorted Lists",0,Hard,19,6510,342
3,"Longest Substring Without Repeating Characters",0,Medium,19,13009,676
1524,"Number of Sub-arrays With Odd Sum",0,Medium,18,311,17
1448,"Count Good Nodes in Binary Tree",0,Medium,18,511,27
1398,"Customers Who Bought Products A and B but Not C",1,Medium,18,72,4
1310,"XOR Queries of a Subarray",0,Medium,18,424,23
1429,"First Unique Number",1,Medium,18,202,11
1200,"Minimum Absolute Difference",0,Easy,18,519,28
1192,"Critical Connections in a Network",0,Hard,18,1974,108
1027,"Longest Arithmetic Subsequence",0,Medium,18,1119,61
1020,"Number of Enclaves",0,Medium,18,448,24
1062,"Longest Repeating Substring",1,Medium,18,360,20
1061,"Lexicographically Smallest Equivalent String",1,Medium,18,129,7
996,"Number of Squareful Arrays",0,Hard,18,434,23
917,"Reverse Only Letters",0,Easy,18,738,41
889,"Construct Binary Tree from Preorder and Postorder Traversal",0,Medium,18,1103,59
797,"All Paths From Source to Target",0,Medium,18,1591,85
431,"Encode N-ary Tree to Binary Tree",1,Hard,18,279,15
673,"Number of Longest Increasing Subsequence",0,Medium,18,2077,115
608,"Tree Node",1,Medium,18,221,12
514,"Freedom Trail",0,Hard,18,496,27
442,"Find All Duplicates in an Array",0,Medium,18,3241,173
378,"Kth Smallest Element in a Sorted Matrix",0,Medium,18,3273,173
338,"Counting Bits",0,Medium,18,3555,193
257,"Binary Tree Paths",0,Easy,18,2327,123
241,"Different Ways to Add Parentheses",0,Medium,18,2023,107
199,"Binary Tree Right Side View",0,Medium,18,3464,183
182,"Duplicate Emails",0,Easy,18,584,31
169,"Majority Element",0,Easy,18,4460,246
56,"Merge Intervals",0,Medium,18,6426,355
1587,"Bank Account Summary II",1,Easy,17,35,2
1526,"Minimum Number of Increments on Subarrays to Form a Target Array",0,Hard,17,285,16
1473,"Paint House III",0,Hard,17,315,18
1477,"Find Two Non-overlapping Sub-arrays Each With Target Sum",0,Medium,17,654,37
1456,"Maximum Number of Vowels in a Substring of Given Length",0,Medium,17,339,19
1351,"Count Negative Numbers in a Sorted Matrix",0,Easy,17,781,45
1290,"Convert Binary Number in a Linked List to Integer",0,Easy,17,1017,59
1726,"Tuple with Same Product",0,Medium,17,161,9
1302,"Deepest Leaves Sum",0,Medium,17,944,53
1129,"Shortest Path with Alternating Colors",0,Medium,17,588,33
1019,"Next Greater Node In Linked List",0,Medium,17,1185,67
977,"Squares of a Sorted Array",0,Easy,17,2001,113
905,"Sort Array By Parity",0,Easy,17,1516,85
489,"Robot Room Cleaner",1,Hard,17,1378,80
796,"Rotate String",0,Easy,17,990,58
510,"Inorder Successor in BST II",1,Medium,17,426,25
486,"Predict the Winner",0,Medium,17,1791,101
369,"Plus One Linked List",1,Medium,17,618,36
347,"Top K Frequent Elements",0,Medium,17,4422,253
279,"Perfect Squares",0,Medium,17,3940,228
218,"The Skyline Problem",0,Hard,17,2669,151
97,"Interleaving String",0,Hard,17,1848,103
75,"Sort Colors",0,Medium,17,4804,272
16,"3Sum Closest",0,Medium,17,2856,164
1673,"Find the Most Competitive Subsequence",0,Medium,16,646,40
1650,"Lowest Common Ancestor of a Binary Tree III",1,Medium,16,64,4
1686,"Stone Game VI",0,Medium,16,179,11
1624,"Largest Substring Between Two Equal Characters",0,Easy,16,167,10
1594,"Maximum Non Negative Product in a Matrix",0,Medium,16,284,17
1436,"Destination City",0,Easy,16,500,30
1422,"Maximum Score After Splitting a String",0,Easy,16,287,17
1411,"Number of Ways to Paint N × 3 Grid",0,Hard,16,403,24
1352,"Product of the Last K Numbers",0,Medium,16,468,28
1269,"Number of Ways to Stay in the Same Place After Some Steps",0,Hard,16,333,20
1691,"Maximum Height by Stacking Cuboids ",0,Hard,16,146,9
1147,"Longest Chunked Palindrome Decomposition",0,Hard,16,249,15
1106,"Parsing A Boolean Expression",0,Hard,16,318,19
1229,"Meeting Scheduler",1,Medium,16,316,19
1165,"Single-Row Keyboard",1,Easy,16,202,12
1010,"Pairs of Songs With Total Durations Divisible by 60",0,Medium,16,1145,69
965,"Univalued Binary Tree",0,Easy,16,736,46
922,"Sort Array By Parity II",0,Easy,16,913,57
870,"Advantage Shuffle",0,Medium,16,656,41
786,"K-th Smallest Prime Fraction",0,Hard,16,475,28
741,"Cherry Pickup",0,Hard,16,1472,89
727,"Minimum Window Subsequence",1,Hard,16,851,51
698,"Partition to K Equal Sum Subsets",0,Medium,16,2603,159
694,"Number of Distinct Islands",1,Medium,16,1109,69
680,"Valid Palindrome II",0,Easy,16,2292,143
542,"01 Matrix",0,Medium,16,2076,124
515,"Find Largest Value in Each Tree Row",0,Medium,16,1199,71
477,"Total Hamming Distance",0,Medium,16,1040,64
471,"Encode String with Shortest Length",1,Hard,16,431,26
380,"Insert Delete GetRandom O(1)",0,Medium,16,3250,194
331,"Verify Preorder Serialization of a Binary Tree",0,Medium,16,888,55
307,"Range Sum Query - Mutable",0,Medium,16,1684,100
264,"Ugly Number II",0,Medium,16,2409,150
260,"Single Number III",0,Medium,16,2111,128
188,"Best Time to Buy and Sell Stock IV",0,Hard,16,2211,135
118,"Pascal s Triangle",0,Easy,16,2194,130
24,"Swap Nodes in Pairs",0,Medium,16,3273,202
19,"Remove Nth Node From End of List",0,Medium,16,4693,286
1718,"Construct the Lexicographically Largest Valid Sequence",0,Medium,15,156,10
1717,"Maximum Score From Removing Substrings",0,Medium,15,183,12
1657,"Determine if Two Strings Are Close",0,Medium,15,384,25
1634,"Add Two Polynomials Represented as Linked Lists",1,Medium,15,30,2
1584,"Min Cost to Connect All Points",0,Medium,15,360,24
1578,"Minimum Deletion Cost to Avoid Repeating Letters",0,Medium,15,281,18
1558,"Minimum Numbers of Function Calls to Make Target Array",0,Medium,15,230,15
1490,"Clone N-ary Tree",1,Medium,15,125,8
1392,"Longest Happy Prefix",0,Hard,15,303,19
1334,"Find the City With the Smallest Number of Neighbors at a Threshold Distance",0,Medium,15,477,31
1218,"Longest Arithmetic Subsequence of Given Difference",0,Medium,15,473,30
1171,"Remove Zero Sum Consecutive Nodes from Linked List",0,Medium,15,762,48
1105,"Filling Bookcase Shelves",0,Medium,15,793,50
1048,"Longest String Chain",0,Medium,15,1414,94
1063,"Number of Valid Subarrays",1,Hard,15,120,8
1055,"Shortest Way to Form String",1,Medium,15,579,38
